  2: Obj = 1.620e-05, alpha = 4.910e-09, beta = 4.550e-09, eps = 2.720e-23, dual = 8.707e-04, #nonzeros = 31, x-x_p = 8.100e-05 
  1: Obj = 1.477e-05, alpha = 1.247e-07, beta = 1.878e-06, eps = 1.832e-16, dual = 8.052e-04, #nonzeros = 31, x-x_p = 2.972e-03 
  2: Obj = 1.472e-05, alpha = 4.127e-09, beta = 4.267e-09, eps = 2.502e-23, dual = 7.788e-04, #nonzeros = 31, x-x_p = 7.604e-05 
  1: Obj = 1.335e-05, alpha = 1.063e-07, beta = 1.849e-06, eps = 1.766e-16, dual = 7.168e-04, #nonzeros = 31, x-x_p = 2.847e-03 
  2: Obj = 1.331e-05, alpha = 3.405e-09, beta = 3.913e-09, eps = 2.211e-23, dual = 6.920e-04, #nonzeros = 31, x-x_p = 7.069e-05 
  1: Obj = 1.200e-05, alpha = 8.971e-08, beta = 1.808e-06, eps = 1.669e-16, dual = 6.340e-04, #nonzeros = 31, x-x_p = 2.722e-03 
  2: Obj = 1.196e-05, alpha = 2.757e-09, beta = 3.494e-09, eps = 1.866e-23, dual = 6.111e-04, #nonzeros = 31, x-x_p = 6.507e-05 
  1: Obj = 1.074e-05, alpha = 7.504e-08, beta = 1.755e-06, eps = 1.543e-16, dual = 5.575e-04, #nonzeros = 31, x-x_p = 2.598e-03 
  2: Obj = 1.071e-05, alpha = 2.194e-09, beta = 3.055e-09, eps = 1.509e-23, dual = 5.365e-04, #nonzeros = 31, x-x_p = 5.932e-05 
  1: Obj = 9.574e-06, alpha = 6.224e-08, beta = 1.690e-06, eps = 1.394e-16, dual = 4.876e-04, #nonzeros = 31, x-x_p = 2.475e-03 
  2: Obj = 9.548e-06, alpha = 1.715e-09, beta = 2.604e-09, eps = 1.162e-23, dual = 4.684e-04, #nonzeros = 31, x-x_p = 5.356e-05 
  1: Obj = 8.503e-06, alpha = 5.122e-08, beta = 1.614e-06, eps = 1.230e-16, dual = 4.243e-04, #nonzeros = 31, x-x_p = 2.354e-03 
